Cubic spline of log_of_lcdm_z0.matter_pk with boundary conditions : f"(x_0) = 0.000000e+000, f"(x_n) = 0.000000e+000

f(x | [x_j , x_j+1]) 
= m_j+1 * (x - x_j) ^ 3 / (6 * h_j) - m_j * (x - x_j+1) ^ 3 / (6 * h_j) 
  + (6 * y_j+1 - m_j+1 * h_j ^ 2) * (x - x_j) / (6 * h_j) 
  - (6 * y_j - m_j * h_j ^ 2) * (x - x_j+1) / (6 * h_j)
= (m_j+1 - m_j) * (x - x_j) ^ 3 / (6 * h_j) + m_j * (x - x_j) ^ 2 / 2 
  + ((y_j+1 - y_j) / h_j - (2 * m_j * h_j + m_j+1 * h_j) / 6) * (x - x_j) + y_j

    j       x_j            y_j      h_j=x_j+1-x_j   m_j=f"(x_j)        a_j            b_j            c_j      
   78 -3.220000e+000 3.552229e+000 9.999990e-003 -5.312360e-002 7.970396e-002 -2.656180e-002 9.385072e-001
   79 -3.210000e+000 3.561612e+000 9.999990e-003 -4.834137e-002 -9.295881e-002 -2.417069e-002 9.379998e-001
   80 -3.200000e+000 3.570989e+000 9.999990e-003 -5.391889e-002 5.371216e-002 -2.695945e-002 9.374886e-001
   81 -3.190000e+000 3.580362e+000 9.999990e-003 -5.069617e-002 -1.218899e-001 -2.534808e-002 9.369655e-001
   82 -3.180000e+000 3.589729e+000 9.999990e-003 -5.800956e-002 -4.299095e-002 -2.900478e-002 9.364219e-001
   83 -3.170000e+000 3.599090e+000 9.999990e-003 -6.058901e-002 5.543417e-002 -3.029451e-002 9.358290e-001
   84 -3.160000e+000 3.608445e+000 9.999990e-003 -5.726296e-002 -1.787454e-001 -2.863148e-002 9.352397e-001
   85 -3.150000e+000 3.617795e+000 1.000023e-002 -6.798768e-002 1.984462e-001 -3.399384e-002 9.346135e-001
   86 -3.140000e+000 3.627138e+000 9.999752e-003 -5.608064e-002 -4.238762e-001 -2.804032e-002 9.339931e-001
   87 -3.130000e+000 3.636474e+000 1.000023e-002 -8.151258e-002 3.681994e-001 -4.075629e-002 9.333051e-001
   88 -3.120000e+000 3.645804e+000 9.999990e-003 -5.942011e-002 -3.814252e-001 -2.971005e-002 9.326004e-001
   89 -3.110000e+000 3.655126e+000 9.999990e-003 -8.230560e-002 2.197261e-001 -4.115280e-002 9.318919e-001
   90 -3.100000e+000 3.664441e+000 9.999990e-003 -6.912204e-002 -2.590600e-001 -3.456102e-002 9.311347e-001
   91 -3.090000e+000 3.673749e+000 9.999990e-003 -8.466563e-002 1.012560e-001 -4.233281e-002 9.303657e-001
   92 -3.080000e+000 3.683048e+000 9.999990e-003 -7.859027e-002 -1.459643e-001 -3.929514e-002 9.295495e-001
   93 -3.070000e+000 3.692340e+000 9.999990e-003 -8.734813e-002 5.762781e-003 -4.367406e-002 9.287198e-001
   94 -3.060000e+000 3.701623e+000 9.999990e-003 -8.700236e-002 -1.155061e-001 -4.350118e-002 9.278480e-001
   95 -3.050000e+000 3.710897e+000 9.999990e-003 -9.393272e-002 -2.057629e-002 -4.696636e-002 9.269434e-001
   96 -3.040000e+000 3.720161e+000 9.999990e-003 -9.516729e-002 -4.060831e-002 -4.758365e-002 9.259979e-001
   97 -3.030000e+000 3.729417e+000 9.999990e-003 -9.760379e-002 -5.540977e-002 -4.880190e-002 9.250340e-001
   98 -3.020000e+000 3.738662e+000 9.999990e-003 -1.009284e-001 -2.145918e-001 -5.046419e-002 9.240413e-001
   99 -3.010000e+000 3.747897e+000 9.999990e-003 -1.138039e-001 1.985209e-001 -5.690194e-002 9.229677e-001
  100 -3.000000e+000 3.757121e+000 9.999990e-003 -1.018926e-001 -3.410728e-001 -5.094631e-002 9.218892e-001
  101 -2.990000e+000 3.766335e+000 1.000023e-002 -1.223570e-001 2.312582e-001 -6.117849e-002 9.207680e-001
  102 -2.980000e+000 3.775537e+000 9.999752e-003 -1.084812e-001 -4.030838e-001 -5.424058e-002 9.196137e-001
  103 -2.970000e+000 3.784727e+000 9.999990e-003 -1.326656e-001 2.464327e-001 -6.633279e-002 9.184080e-001
  104 -2.960000e+000 3.793905e+000 9.999752e-003 -1.178796e-001 -3.834536e-001 -5.893982e-002 9.171553e-001
  105 -2.950000e+000 3.803070e+000 1.000047e-002 -1.408863e-001 1.758096e-001 -7.044315e-002 9.158615e-001
  106 -2.940000e+000 3.812222e+000 9.999990e-003 -1.303372e-001 -1.820556e-001 -6.516861e-002 9.145054e-001
  107 -2.930000e+000 3.821360e+000 9.999752e-003 -1.412605e-001 -1.437779e-001 -7.063027e-002 9.131473e-001
  108 -2.920000e+000 3.830484e+000 1.000023e-002 -1.498870e-001 1.050548e-001 -7.494351e-002 9.116917e-001
  109 -2.910000e+000 3.839594e+000 9.999752e-003 -1.435836e-001 -3.613937e-001 -7.179179e-002 9.102243e-001
  110 -2.900000e+000 3.848688e+000 1.000023e-002 -1.652667e-001 2.347530e-001 -8.263333e-002 9.086800e-001
  111 -2.890000e+000 3.857767e+000 9.999990e-003 -1.511812e-001 -4.045600e-001 -7.559058e-002 9.070978e-001
  112 -2.880000e+000 3.866830e+000 9.999990e-003 -1.754547e-001 2.131633e-001 -8.772737e-002 9.054646e-001
  113 -2.870000e+000 3.875876e+000 9.999752e-003 -1.626649e-001 -4.714574e-001 -8.133247e-002 9.037740e-001
  114 -2.860000e+000 3.884905e+000 1.000023e-002 -1.909517e-001 3.121851e-001 -9.547585e-002 9.020060e-001
  115 -2.850000e+000 3.893916e+000 9.999990e-003 -1.722202e-001 -3.705905e-001 -8.611008e-002 9.001901e-001
  116 -2.840000e+000 3.902909e+000 9.999752e-003 -1.944556e-001 -2.325583e-002 -9.722778e-002 8.983567e-001
  117 -2.830000e+000 3.911883e+000 9.999990e-003 -1.958509e-001 -2.027136e-001 -9.792544e-002 8.964052e-001
  118 -2.820000e+000 3.920837e+000 1.000023e-002 -2.080137e-001 1.202879e-001 -1.040068e-001 8.943859e-001
  119 -2.810000e+000 3.929771e+000 9.999990e-003 -2.007962e-001 -3.293058e-001 -1.003981e-001 8.923418e-001
  120 -2.800000e+000 3.938684e+000 9.999990e-003 -2.205546e-001 3.002040e-002 -1.102773e-001 8.902350e-001
  121 -2.790000e+000 3.947575e+000 9.999990e-003 -2.187534e-001 -2.676139e-001 -1.093767e-001 8.880385e-001
  122 -2.780000e+000 3.956444e+000 9.999990e-003 -2.348102e-001 8.675812e-002 -1.174051e-001 8.857707e-001
  123 -2.770000e+000 3.965290e+000 9.999990e-003 -2.296047e-001 -3.178371e-001 -1.148023e-001 8.834486e-001
  124 -2.760000e+000 3.974113e+000 9.999990e-003 -2.486749e-001 -7.507957e-003 -1.243374e-001 8.810572e-001
  125 -2.750000e+000 3.982911e+000 9.999990e-003 -2.491254e-001 -1.289684e-001 -1.245627e-001 8.785682e-001
  126 -2.740000e+000 3.991684e+000 9.999990e-003 -2.568635e-001 -1.918775e-001 -1.284317e-001 8.760383e-001
  127 -2.730000e+000 4.000432e+000 9.999990e-003 -2.683761e-001 -2.956165e-001 -1.341881e-001 8.734121e-001
  128 -2.720000e+000 4.009152e+000 1.000023e-002 -2.861131e-001 4.521579e-001 -1.430565e-001 8.706396e-001
  129 -2.710000e+000 4.017845e+000 9.999752e-003 -2.589830e-001 -8.923300e-001 -1.294915e-001 8.679141e-001
  130 -2.700000e+000 4.026510e+000 9.999990e-003 -3.125215e-001 5.889297e-001 -1.562607e-001 8.650566e-001
  131 -2.690000e+000 4.035145e+000 9.999990e-003 -2.771857e-001 -7.796230e-001 -1.385929e-001 8.621081e-001
  132 -2.680000e+000 4.043752e+000 9.999990e-003 -3.239630e-001 1.453699e-001 -1.619815e-001 8.591024e-001
  133 -2.670000e+000 4.052327e+000 1.000023e-002 -3.152409e-001 -5.167604e-003 -1.576204e-001 8.559064e-001
  134 -2.660000e+000 4.060870e+000 9.999752e-003 -3.155509e-001 -4.684743e-001 -1.577755e-001 8.527523e-001
  135 -2.650000e+000 4.069381e+000 1.000023e-002 -3.436587e-001 1.137037e-001 -1.718293e-001 8.494564e-001
  136 -2.640000e+000 4.077859e+000 9.999990e-003 -3.368363e-001 -3.324795e-001 -1.684182e-001 8.460538e-001
  137 -2.630000e+000 4.086302e+000 9.999990e-003 -3.567851e-001 6.000952e-002 -1.783925e-001 8.425857e-001
  138 -2.620000e+000 4.094710e+000 9.999990e-003 -3.531845e-001 -3.843952e-001 -1.765922e-001 8.390359e-001
  139 -2.610000e+000 4.103083e+000 9.999752e-003 -3.762482e-001 -2.315261e-001 -1.881241e-001 8.353887e-001
  140 -2.600000e+000 4.111417e+000 1.000023e-002 -3.901394e-001 2.388502e-001 -1.950697e-001 8.315569e-001
  141 -2.590000e+000 4.119714e+000 9.999990e-003 -3.758081e-001 -6.059657e-001 -1.879040e-001 8.277270e-001
  142 -2.580000e+000 4.127972e+000 9.999990e-003 -4.121660e-001 7.939594e-002 -2.060830e-001 8.237872e-001
  143 -2.570000e+000 4.136189e+000 9.999990e-003 -4.074022e-001 -1.884562e-001 -2.037011e-001 8.196893e-001
  144 -2.560000e+000 4.144365e+000 9.999990e-003 -4.187096e-001 -2.792490e-001 -2.093548e-001 8.155587e-001
  145 -2.550000e+000 4.152500e+000 9.999990e-003 -4.354645e-001 -1.250631e-001 -2.177323e-001 8.112879e-001
  146 -2.540000e+000 4.160591e+000 9.999990e-003 -4.429683e-001 -1.741793e-001 -2.214841e-001 8.068957e-001
  147 -2.530000e+000 4.168637e+000 9.999990e-003 -4.534190e-001 -1.318948e-001 -2.267095e-001 8.024138e-001
  148 -2.520000e+000 4.176639e+000 9.999990e-003 -4.613327e-001 -2.519158e-001 -2.306664e-001 7.978401e-001
  149 -2.510000e+000 4.184594e+000 9.999990e-003 -4.764476e-001 -2.909603e-001 -2.382238e-001 7.931511e-001
  150 -2.500000e+000 4.192501e+000 9.999990e-003 -4.939052e-001 -1.475465e-002 -2.469526e-001 7.882994e-001
  151 -2.490000e+000 4.200359e+000 9.999990e-003 -4.947905e-001 -1.268602e-001 -2.473953e-001 7.833559e-001
  152 -2.480000e+000 4.208168e+000 9.999990e-003 -5.024021e-001 -4.314834e-001 -2.512011e-001 7.783700e-001
  153 -2.470000e+000 4.215926e+000 9.999990e-003 -5.282911e-001 -5.456115e-002 -2.641456e-001 7.732165e-001
  154 -2.460000e+000 4.223632e+000 9.999990e-003 -5.315648e-001 -3.039492e-001 -2.657824e-001 7.679172e-001
  155 -2.450000e+000 4.231284e+000 1.000023e-002 -5.498017e-001 1.361836e-001 -2.749009e-001 7.625104e-001
  156 -2.440000e+000 4.238882e+000 9.999752e-003 -5.416305e-001 -6.530288e-001 -2.708153e-001 7.570531e-001
  157 -2.430000e+000 4.246425e+000 9.999990e-003 -5.808113e-001 2.703570e-002 -2.904056e-001 7.514411e-001
  158 -2.420000e+000 4.253910e+000 9.999990e-003 -5.791891e-001 -2.282999e-001 -2.895946e-001 7.456411e-001
  159 -2.410000e+000 4.261337e+000 1.000023e-002 -5.928871e-001 -2.424582e-001 -2.964436e-001 7.397807e-001
  160 -2.400000e+000 4.268705e+000 9.999752e-003 -6.074349e-001 -1.843756e-001 -3.037175e-001 7.337789e-001
  161 -2.390000e+000 4.276012e+000 1.000023e-002 -6.184972e-001 -1.937136e-001 -3.092486e-001 7.276494e-001
  162 -2.380000e+000 4.283258e+000 9.999752e-003 -6.301203e-001 -2.571845e-001 -3.150601e-001 7.214062e-001
  163 -2.370000e+000 4.290440e+000 9.999990e-003 -6.455510e-001 -2.472234e-001 -3.227755e-001 7.150280e-001
  164 -2.360000e+000 4.297558e+000 1.000023e-002 -6.603844e-001 -1.797734e-001 -3.301922e-001 7.084983e-001
  165 -2.350000e+000 4.304610e+000 9.999990e-003 -6.711710e-001 -1.279186e-001 -3.355855e-001 7.018404e-001
  166 -2.340000e+000 4.311594e+000 9.999990e-003 -6.788461e-001 -4.311496e-001 -3.394231e-001 6.950903e-001
  167 -2.330000e+000 4.318511e+000 9.999990e-003 -7.047151e-001 -5.483732e-002 -3.523575e-001 6.881725e-001
  168 -2.320000e+000 4.325357e+000 9.999990e-003 -7.080053e-001 -3.031793e-001 -3.540027e-001 6.811089e-001
  169 -2.310000e+000 4.332133e+000 9.999990e-003 -7.261961e-001 -1.629573e-001 -3.630980e-001 6.739379e-001
  170 -2.300000e+000 4.338836e+000 9.999990e-003 -7.359735e-001 -4.755074e-001 -3.679867e-001 6.666270e-001
  171 -2.290000e+000 4.345465e+000 9.999990e-003 -7.645039e-001 1.576276e-001 -3.822519e-001 6.591247e-001
  172 -2.280000e+000 4.352018e+000 9.999990e-003 -7.550462e-001 -6.318396e-001 -3.775231e-001 6.515269e-001
  173 -2.270000e+000 4.358495e+000 9.999990e-003 -7.929566e-001 -1.445911e-002 -3.964783e-001 6.437869e-001
  174 -2.260000e+000 4.364893e+000 9.999990e-003 -7.938241e-001 -2.640031e-001 -3.969121e-001 6.358531e-001
  175 -2.250000e+000 4.371212e+000 9.999990e-003 -8.096643e-001 -3.600402e-001 -4.048322e-001 6.278356e-001
  176 -2.240000e+000 4.377449e+000 9.999990e-003 -8.312667e-001 -2.031904e-001 -4.156334e-001 6.196309e-001
  177 -2.230000e+000 4.383604e+000 9.999990e-003 -8.434581e-001 -2.577158e-001 -4.217291e-001 6.112573e-001
  178 -2.220000e+000 4.389674e+000 9.999990e-003 -8.589211e-001 -1.964591e-001 -4.294605e-001 6.027455e-001
  179 -2.210000e+000 4.395658e+000 9.999990e-003 -8.707086e-001 -3.869637e-001 -4.353543e-001 5.940973e-001
  180 -2.200000e+000 4.401555e+000 9.999990e-003 -8.939264e-001 -1.630487e-001 -4.469632e-001 5.852742e-001
  181 -2.190000e+000 4.407363e+000 9.999990e-003 -9.037093e-001 -3.913496e-001 -4.518546e-001 5.762860e-001
  182 -2.180000e+000 4.413080e+000 9.999990e-003 -9.271902e-001 -1.789065e-001 -4.635951e-001 5.671315e-001
  183 -2.170000e+000 4.418705e+000 9.999990e-003 -9.379246e-001 -3.235383e-001 -4.689623e-001 5.578059e-001
  184 -2.160000e+000 4.424236e+000 9.999990e-003 -9.573369e-001 -4.342997e-001 -4.786685e-001 5.483296e-001
  185 -2.150000e+000 4.429671e+000 1.000023e-002 -9.833949e-001 2.730426e-002 -4.916974e-001 5.386260e-001
  186 -2.140000e+000 4.435008e+000 9.999752e-003 -9.817566e-001 -7.272543e-001 -4.908783e-001 5.288000e-001
  187 -2.130000e+000 4.440246e+000 1.000023e-002 -1.025391e+000 -2.000683e-003 -5.126954e-001 5.187645e-001
  188 -2.120000e+000 4.445383e+000 9.999990e-003 -1.025511e+000 -3.242615e-001 -5.127554e-001 5.085098e-001
  189 -2.110000e+000 4.450416e+000 9.999752e-003 -1.044966e+000 -6.157531e-001 -5.224832e-001 4.981574e-001
  190 -2.100000e+000 4.455345e+000 1.000023e-002 -1.081911e+000 5.433236e-002 -5.409554e-001 4.875233e-001
  191 -2.090000e+000 4.460166e+000 9.999990e-003 -1.078651e+000 -6.834414e-001 -5.393254e-001 4.767202e-001
  192 -2.080000e+000 4.464879e+000 9.999990e-003 -1.119657e+000 -2.978387e-001 -5.598286e-001 4.657287e-001
  193 -2.070000e+000 4.469480e+000 9.999990e-003 -1.137527e+000 -3.255013e-002 -5.687637e-001 4.544428e-001
  194 -2.060000e+000 4.473967e+000 9.999990e-003 -1.139480e+000 -1.002483e+000 -5.697402e-001 4.430577e-001
  195 -2.050000e+000 4.478340e+000 9.999990e-003 -1.199629e+000 2.277833e-001 -5.998147e-001 4.313622e-001
  196 -2.040000e+000 4.482594e+000 9.999990e-003 -1.185962e+000 -8.623290e-001 -5.929812e-001 4.194342e-001
  197 -2.030000e+000 4.486728e+000 9.999990e-003 -1.237702e+000 -1.163325e-001 -6.188511e-001 4.073159e-001
  198 -2.020000e+000 4.490739e+000 9.999990e-003 -1.244682e+000 -5.797014e-001 -6.223410e-001 3.949040e-001
  199 -2.010000e+000 4.494625e+000 9.999990e-003 -1.279464e+000 -4.258935e-001 -6.397321e-001 3.822833e-001
  200 -2.000000e+000 4.498384e+000 9.999990e-003 -1.305018e+000 -5.777504e-001 -6.525089e-001 3.693609e-001
  201 -1.990000e+000 4.502011e+000 1.000023e-002 -1.339683e+000 -2.058439e-001 -6.698413e-001 3.561374e-001
  202 -1.980000e+000 4.505506e+000 9.999633e-003 -1.352034e+000 -6.987828e-001 -6.760168e-001 3.426785e-001
  203 -1.970000e+000 4.508864e+000 1.000011e-002 -1.393959e+000 -6.996714e-001 -6.969795e-001 3.289491e-001
  204 -1.960000e+000 4.512083e+000 9.999871e-003 -1.435940e+000 -8.209056e-002 -7.179699e-001 3.147994e-001
  205 -1.950000e+000 4.515159e+000 1.000035e-002 -1.440865e+000 -1.094045e+000 -7.204326e-001 3.004156e-001
  206 -1.940000e+000 4.518090e+000 9.999990e-003 -1.506510e+000 -6.274984e-002 -7.532551e-001 2.856782e-001
  207 -1.930000e+000 4.520872e+000 9.999633e-003 -1.510275e+000 -1.055319e+000 -7.551376e-001 2.705943e-001
  208 -1.920000e+000 4.523501e+000 1.000023e-002 -1.573592e+000 -2.528530e-001 -7.867960e-001 2.551755e-001
  209 -1.910000e+000 4.525974e+000 9.999871e-003 -1.588763e+000 -1.029813e+000 -7.943817e-001 2.393634e-001
  210 -1.900000e+000 4.528287e+000 1.000023e-002 -1.650551e+000 -5.615722e-001 -8.252757e-001 2.231670e-001
